"host_id","host_acceptance_rate","price","host_is_superhost"
358089614,94,45,"Not Superhost"
39162543,77,270.666666666667,"Not Superhost"
394869975,33,446.666666666667,"Not Superhost"
351763192,0,54,"Not Superhost"
44305915,100,205.333333333333,"Not Superhost"
2868,0,60,"Not Superhost"
16899543,33,99.6666666666667,"Not Superhost"
489756011,81,194.8,"Not Superhost"
454700211,100,150,"Not Superhost"
736652,0,495,"Not Superhost"
745069,18,75,"Not Superhost"
138770550,86,51.625,"Not Superhost"
128579948,100,438.75,"Not Superhost"
120223,0,100,"Not Superhost"
45774302,0,89,"Not Superhost"
13347167,72,118.129032258065,"Not Superhost"
547422647,100,744.357142857143,"Not Superhost"
35539450,80,231.5,"Not Superhost"
540041298,73,46.4,"Not Superhost"
534575586,100,225,"Not Superhost"
165776960,69,135,"Not Superhost"
164316200,75,64,"Not Superhost"
256632041,0,180,"Not Superhost"
1863597,0,137,"Not Superhost"
10194134,0,60,"Not Superhost"
502141479,80,42.1666666666667,"Not Superhost"
7250989,100,98,"Not Superhost"
339192135,100,152,"Not Superhost"
213020,97,119,"Not Superhost"
65610,13,198.333333333333,"Not Superhost"
4888892,80,74.5,"Not Superhost"
363171869,0,56,"Not Superhost"
99672488,100,229,"Not Superhost"
39448176,17,131.666666666667,"Not Superhost"
400013151,100,136,"Not Superhost"
86337764,0,165,"Not Superhost"
923364,100,160,"Not Superhost"
107578852,100,125,"Not Superhost"
582983084,100,468,"Not Superhost"
13717740,89,75,"Not Superhost"
455426196,92,54.5,"Not Superhost"
146675319,78,212.5,"Not Superhost"
471345215,86,50.7777777777778,"Not Superhost"
556730397,100,250,"Not Superhost"
50997424,40,367.25,"Not Superhost"
172579417,100,80,"Not Superhost"
115082911,100,106,"Not Superhost"
348891433,67,49,"Not Superhost"
268816419,92,71,"Not Superhost"
394289605,100,250,"Not Superhost"
535634601,40,80,"Not Superhost"
526803672,80,150,"Not Superhost"
399986109,67,140,"Not Superhost"
498559328,0,65,"Not Superhost"
432000371,94,100,"Not Superhost"
391967495,100,224,"Not Superhost"
399865453,66,225.617647058824,"Not Superhost"
482505101,98,212.5,"Not Superhost"
3876092,8,100,"Not Superhost"
11481,50,205.5,"Not Superhost"
572649285,67,67,"Not Superhost"
372788555,50,329,"Not Superhost"
535538968,100,48.5,"Not Superhost"
235971419,31,70,"Not Superhost"
579204496,50,33,"Not Superhost"
216807490,30,50,"Not Superhost"
417861627,0,142,"Not Superhost"
38706510,0,74,"Not Superhost"
616825,99,318,"Not Superhost"
71741921,0,115,"Not Superhost"
521229384,68,90.75,"Not Superhost"
415255533,95,175,"Not Superhost"
274452385,100,118.666666666667,"Not Superhost"
224206042,100,59,"Not Superhost"
284126288,100,62.5,"Not Superhost"
243288727,44,237.615384615385,"Not Superhost"
127836236,100,70,"Not Superhost"
88326292,33,78,"Not Superhost"
335040889,0,195,"Not Superhost"
95344065,69,56.5,"Not Superhost"
184874464,94,50.2,"Not Superhost"
244116720,80,90,"Not Superhost"
230705060,100,249.75,"Not Superhost"
30080463,100,185,"Not Superhost"
183178516,46,286.75,"Not Superhost"
439066367,100,150,"Not Superhost"
551130565,94,145,"Not Superhost"
563247594,51,76.5333333333333,"Not Superhost"
179026754,96,281.75,"Not Superhost"
488767748,100,71,"Not Superhost"
410066428,100,157.5,"Not Superhost"
349262538,85,161.666666666667,"Not Superhost"
275839005,100,140,"Not Superhost"
57283593,100,180,"Not Superhost"
465479887,0,79,"Not Superhost"
234331642,38,72,"Not Superhost"
457828432,100,38.1333333333333,"Not Superhost"
181108819,33,69,"Not Superhost"
358711239,43,108.333333333333,"Not Superhost"
393474623,100,200,"Not Superhost"
59117179,100,140,"Not Superhost"
40523974,98,176.833333333333,"Not Superhost"
240298366,97,187,"Not Superhost"
18875522,97,323,"Not Superhost"
325958751,99,511,"Not Superhost"
34343792,86,165,"Not Superhost"
577734657,100,402.333333333333,"Not Superhost"
173987923,50,375,"Not Superhost"
584022815,100,447.75,"Not Superhost"
19408645,99,1431.9,"Not Superhost"
25064168,0,500,"Not Superhost"
420297717,83,94,"Not Superhost"
351830322,0,117,"Not Superhost"
251398972,100,88,"Not Superhost"
209887985,90,84,"Not Superhost"
10457092,71,122,"Not Superhost"
80917634,50,37,"Not Superhost"
507975359,71,90,"Not Superhost"
466634879,100,265.5,"Not Superhost"
419687159,100,70,"Not Superhost"
289020147,0,44.6666666666667,"Not Superhost"
29241227,100,55,"Not Superhost"
115827173,67,140,"Not Superhost"
488801886,97,85,"Not Superhost"
90334134,50,54,"Not Superhost"
528859105,100,70,"Not Superhost"
380818034,100,90,"Not Superhost"
507144882,80,99,"Not Superhost"
181376,100,102.5,"Not Superhost"
37821056,30,46.6666666666667,"Not Superhost"
7748180,100,204.5,"Not Superhost"
14214034,97,107.5,"Not Superhost"
171543177,86,68,"Not Superhost"
440220965,99,305.5,"Not Superhost"
10533381,90,171.666666666667,"Not Superhost"
507121190,83,161,"Not Superhost"
110176129,83,100,"Not Superhost"
36561699,0,98,"Not Superhost"
284286042,100,56,"Not Superhost"
106550420,50,166,"Not Superhost"
91122315,100,194.333333333333,"Not Superhost"
5853457,57,63.2857142857143,"Not Superhost"
555562763,67,186.333333333333,"Not Superhost"
47050813,67,76,"Not Superhost"
544554359,95,292.75,"Not Superhost"
160097529,100,106,"Not Superhost"
209987060,84,752,"Not Superhost"
566688414,100,216,"Not Superhost"
3427262,0,179,"Not Superhost"
83143535,93,75.5833333333333,"Not Superhost"
3621183,100,95,"Not Superhost"
296720161,0,125,"Not Superhost"
107953084,94,50,"Not Superhost"
371008926,60,85.5,"Not Superhost"
69469129,67,135,"Not Superhost"
405703661,100,254,"Not Superhost"
550860942,100,170,"Not Superhost"
6950389,0,129,"Not Superhost"
291556472,100,250,"Not Superhost"
13192406,82,151.666666666667,"Not Superhost"
30532557,67,43.2142857142857,"Not Superhost"
219347424,89,109,"Not Superhost"
539750703,75,169.5,"Not Superhost"
54690362,100,85,"Not Superhost"
253437339,83,203,"Not Superhost"
33859482,100,150,"Not Superhost"
414406854,30,50,"Not Superhost"
506477683,98,183,"Not Superhost"
328865524,100,160,"Not Superhost"
3818314,99,185.333333333333,"Not Superhost"
2035021,85,174.5,"Not Superhost"
451677867,80,130,"Not Superhost"
350231483,50,55.25,"Not Superhost"
371421385,92,48.8,"Not Superhost"
543456429,73,43.4285714285714,"Not Superhost"
539608284,55,55,"Not Superhost"
441365757,100,389,"Not Superhost"
2787,79,261.5,"Not Superhost"
330751531,88,140,"Not Superhost"
461629715,58,287,"Not Superhost"
318855888,100,182,"Not Superhost"
21984601,50,84.2,"Not Superhost"
2050338,50,126.666666666667,"Not Superhost"
431124723,100,125,"Not Superhost"
27596962,100,227,"Not Superhost"
377241586,58,45.5454545454545,"Not Superhost"
514888280,59,49.4,"Not Superhost"
30870512,55,109,"Not Superhost"
418569010,100,66,"Not Superhost"
78672740,100,83.5,"Not Superhost"
32446721,98,62.25,"Not Superhost"
35783912,64,56,"Not Superhost"
382918364,100,85,"Not Superhost"
34991003,59,35.25,"Not Superhost"
467996701,100,121.5,"Not Superhost"
558528704,100,87.7777777777778,"Not Superhost"
1447684,100,70,"Not Superhost"
52862385,100,99.5,"Not Superhost"
128923049,67,40,"Not Superhost"
180277260,84,139.166666666667,"Not Superhost"
593138234,100,100,"Not Superhost"
546945115,100,130,"Not Superhost"
72923241,100,109,"Not Superhost"
490412669,56,74.625,"Not Superhost"
83394328,67,186,"Not Superhost"
4170464,100,115,"Not Superhost"
291033670,94,59.8378378378378,"Not Superhost"
417841076,100,140,"Not Superhost"
7897301,50,125,"Not Superhost"
420408626,58,49.4615384615385,"Not Superhost"
7077897,100,235,"Not Superhost"
424416070,79,160,"Not Superhost"
23316651,100,160,"Not Superhost"
256878517,67,482,"Not Superhost"
491094535,88,240,"Not Superhost"
293264001,95,50.7142857142857,"Not Superhost"
15835028,71,72,"Not Superhost"
2383619,100,79,"Not Superhost"
426369684,97,112.25,"Not Superhost"
390872332,100,85,"Not Superhost"
19805631,0,82.5,"Not Superhost"
62028227,100,134,"Not Superhost"
85006028,92,109,"Not Superhost"
581331178,100,290,"Not Superhost"
4521174,50,250,"Not Superhost"
232649144,0,71,"Not Superhost"
24253453,0,85,"Not Superhost"
175142050,100,56.5,"Not Superhost"
146345538,67,73.5333333333333,"Not Superhost"
454437633,100,135,"Not Superhost"
5823279,0,255.333333333333,"Not Superhost"
11651884,100,350,"Not Superhost"
558230258,75,52.1428571428571,"Not Superhost"
64119235,67,251,"Not Superhost"
4702833,100,110,"Not Superhost"
533074450,60,49.8666666666667,"Not Superhost"
7956821,100,200,"Not Superhost"
1239272,0,500,"Not Superhost"
235073206,100,62.5,"Not Superhost"
5052897,78,60,"Not Superhost"
27277459,100,145.5,"Not Superhost"
455384864,100,134,"Not Superhost"
468947930,68,168.076923076923,"Not Superhost"
262657892,100,448.5,"Not Superhost"
307197943,94,1149.25,"Not Superhost"
299371992,85,206.75,"Not Superhost"
303156931,96,52.2564102564103,"Not Superhost"
474338092,67,305,"Not Superhost"
28260018,100,73.0526315789474,"Not Superhost"
517145594,100,162,"Not Superhost"
559997264,100,66.9285714285714,"Not Superhost"
197053492,100,741.875,"Not Superhost"
20448671,60,85,"Not Superhost"
3491890,82,206.833333333333,"Not Superhost"
1503258,42,82.5,"Not Superhost"
536808429,77,46.3157894736842,"Not Superhost"
278744903,100,399,"Not Superhost"
6103075,83,334,"Not Superhost"
467064305,91,150,"Not Superhost"
9293730,68,172.863636363636,"Not Superhost"
568880,75,250,"Not Superhost"
51716739,98,362,"Not Superhost"
49512683,100,150,"Not Superhost"
2011516,100,389,"Not Superhost"
298841502,100,357,"Not Superhost"
316839533,100,579,"Not Superhost"
284337887,45,42,"Not Superhost"
95782575,100,256,"Not Superhost"
240480084,0,170,"Not Superhost"
203531377,44,190.833333333333,"Not Superhost"
411740512,96,988.411764705882,"Not Superhost"
35483886,73,156.333333333333,"Not Superhost"
247439246,59,61,"Not Superhost"
37046945,100,182.5,"Not Superhost"
3695529,73,422.5,"Not Superhost"
499232,83,175,"Not Superhost"
15185649,100,95,"Not Superhost"
3343457,50,243,"Not Superhost"
85157180,100,293,"Not Superhost"
36641,100,93.25,"Not Superhost"
21306,67,73,"Not Superhost"
108054071,25,55,"Not Superhost"
42069602,98,92,"Not Superhost"
34906299,0,8829.8,"Not Superhost"
6397629,100,350,"Not Superhost"
4979775,100,280,"Not Superhost"
96377729,50,149,"Not Superhost"
370725742,99,406.666666666667,"Not Superhost"
148812441,98,261,"Not Superhost"
1317360,25,893,"Not Superhost"
15131644,96,2000,"Not Superhost"
193364875,94,95,"Not Superhost"
19758179,100,108,"Not Superhost"
440316434,57,39.9230769230769,"Not Superhost"
739539,100,399,"Not Superhost"
555298192,87,1328,"Not Superhost"
503764033,92,211,"Not Superhost"
58599806,100,149,"Not Superhost"
321338266,95,206.333333333333,"Not Superhost"
87215632,92,327,"Not Superhost"
464933442,100,75,"Not Superhost"
22800762,100,264,"Not Superhost"
163362268,95,65.3,"Not Superhost"
151084261,100,90.25,"Not Superhost"
100205617,0,90,"Not Superhost"
305387117,94,339.75,"Not Superhost"
