"id","price","availability_30","availability_60","availability_90","availability_365","month_year"
739333866230665344,89,30,60,90,90,NA
572612125615500032,45,1,31,61,336,2024-07-01
45267941,107,29,59,89,364,NA
838141198693830656,140,29,59,89,364,NA
1082660771919357952,340,0,0,0,110,NA
53190949,54,29,59,89,364,NA
1020282701018874368,47,29,59,89,269,NA
1029666092532042240,280,29,59,89,269,NA
13234457,60,0,6,36,311,2017-07-01
1199996055054384128,180,0,0,3,62,NA
806559695552186368,150,0,9,39,313,NA
773237631431486592,150,30,60,90,364,2023-05-01
1097125455525075712,295,28,58,88,111,2024-07-01
760086536368275328,495,5,35,65,154,2023-07-01
1189243425411300608,58,22,52,82,357,2024-08-01
310325,75,0,30,60,335,2019-09-01
44866024,325,23,53,83,83,NA
1168091987963126528,149,29,59,89,269,NA
1233332599257101824,36,21,21,21,268,NA
1203101908839088896,900,14,44,74,254,NA
27883,100,0,0,0,0,2011-12-01
51927795,399,30,60,90,364,NA
681730243323738624,79,30,60,89,89,2023-01-01
1010698130171630208,101,0,2,32,307,NA
1080524247229234432,116,4,8,38,313,2024-08-01
303264,250,28,50,80,355,2024-06-01
1043748746630664832,602,0,0,0,0,NA
790530143812144384,203,29,59,89,364,NA
651593916026998400,80,30,60,90,365,NA
1233291236181154816,63,28,58,88,363,NA
1208099973553742592,231,7,37,67,342,2024-09-01
796986371882195200,48,29,59,89,364,NA
640443472855597440,194,0,18,48,323,NA
725482656106188032,400,29,59,89,364,NA
27454904,225,27,57,87,87,2023-11-01
581828450067457792,348,30,60,89,89,NA
1004979479809147264,45,20,50,80,260,NA
969035784970111360,225,30,60,90,180,2023-10-01
46999617,175,0,25,55,330,2024-05-01
818099336473939584,191,3,3,3,256,2023-08-01
847907277684435072,64,29,59,88,88,NA
748537688760859904,180,2,2,29,304,2022-11-01
49009747,53,0,0,0,65,NA
675959117355164672,137,29,59,89,178,NA
27082137,60,0,0,0,269,NA
1071083738326573568,46,4,34,64,243,2024-06-01
1205761267577581056,98,0,0,0,247,NA
9698613,NA,0,0,0,0,2016-01-01
7234538,NA,0,0,0,0,NA
622964050408357760,200,0,0,0,257,NA
814741679869275264,149,30,60,90,364,2023-06-01
1202348834470237184,230,30,60,90,269,NA
735631763810679552,300,30,60,90,364,NA
4920338,310,30,60,90,365,NA
980573611700193408,119,2,5,20,89,2024-06-01
1110201796954441216,120,4,34,64,280,NA
50550783,72,0,0,0,216,2023-08-01
52025370,236,30,60,90,365,NA
11845193,NA,0,0,0,0,NA
11858737,NA,0,0,0,0,2016-03-01
9717766,NA,0,0,0,0,NA
11868110,NA,0,0,0,0,2016-03-01
9735503,NA,0,0,0,0,2016-08-01
9757762,NA,0,0,0,0,NA
9796737,NA,0,0,0,0,2017-06-01
7480795,NA,0,0,0,0,2015-08-01
9927400,NA,0,0,0,0,2016-01-01
9938594,NA,0,0,0,0,NA
913651695148256640,200,29,59,89,269,NA
42582390,155,30,60,89,89,NA
762355634788904576,56,30,60,90,365,2023-04-01
773305417769982464,130,11,41,71,346,NA
52562444,208,30,60,90,269,NA
62925,285,30,60,90,179,2023-11-01
1012904436227012224,229,24,54,84,173,NA
978191817244397824,220,30,60,90,270,NA
9735931,NA,0,0,0,0,2020-01-01
9770041,NA,0,0,0,0,2019-01-01
13060365,NA,0,0,0,0,NA
7431316,NA,0,0,0,0,2015-12-01
7500030,NA,0,0,0,0,NA
9906415,NA,0,0,0,0,2016-06-01
7726296,NA,0,0,0,0,NA
7789678,NA,0,0,0,0,NA
9997702,NA,0,0,0,0,2018-01-01
913179698983804288,136,30,60,90,364,NA
