"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_listings_count","review_scores_communication","price"
3013025,"f","f","t","2012-07-21","N/A","N/A","N/A",1,NA,89
358089614,"t","f","t","2020-07-23","within an hour","100%","94%",2,4.83,45
39162543,"f","t","t","2015-07-21","within an hour","100%","77%",3,NA,107
148571080,"f","t","t","2017-08-31","a few days or more","0%","0%",7,NA,140
394869975,"f","f","t","2021-03-30","within a day","78%","33%",5,NA,340
351763192,"f","t","t","2020-06-25","N/A","N/A","0%",1,NA,54
483056418,"f","t","t","2022-10-10","within an hour","100%","78%",24,NA,47
44305915,"f","t","t","2015-09-15","within an hour","100%","100%",3,NA,280
2868,"f","t","t","2008-09-10","within a day","100%","0%",1,2,60
16899543,"f","f","t","2014-06-17","within an hour","100%","33%",3,NA,180
489756011,"f","t","t","2022-11-30","within a few hours","97%","81%",31,NA,150
454700211,"f","t","t","2022-04-17","N/A","N/A","100%",1,5,150
563069592,"f","t","t","2024-02-20","within an hour","100%","97%",9,4.43,295
736652,"f","t","t","2011-06-23","within an hour","100%","0%",1,5,495
61391963,"f","t","t","2016-03-03","within a few hours","99%","71%",170,5,58
745069,"f","t","t","2011-06-26","within a day","60%","18%",2,4.65,75
11599731,"f","t","t","2014-01-24","N/A","N/A","N/A",1,NA,325
2229467,"f","t","t","2012-04-26","N/A","N/A","N/A",1,NA,149
138770550,"f","t","t","2017-07-05","a few days or more","0%","86%",8,NA,36
128579948,"t","t","t","2017-05-02","within an hour","100%","100%",4,NA,900
120223,"f","t","t","2010-05-07","within an hour","100%","0%",1,4.89,100
6702683,"f","t","t","2013-06-02","N/A","N/A","N/A",1,NA,399
45774302,"f","t","t","2015-10-04","N/A","N/A","0%",2,5,79
533234561,"f","t","t","2023-08-22","within a few hours","82%","79%",85,NA,101
13347167,"f","t","t","2014-03-20","within a few hours","87%","72%",31,5,116
1556814,"f","t","t","2012-01-02","within a few hours","100%","73%",21,4.38,250
547422647,"f","t","t","2023-11-20","within an hour","100%","100%",14,NA,602
492849680,"f","t","t","2022-12-26","N/A","N/A","N/A",1,NA,203
136812643,"f","f","t","2017-06-24","N/A","N/A","N/A",1,NA,80
138770550,"f","t","t","2017-07-05","a few days or more","0%","86%",8,NA,63
35539450,"f","t","t","2015-06-11","within an hour","100%","80%",2,5,231
483056418,"f","t","t","2022-10-10","within an hour","100%","78%",24,NA,48
24278208,"f","t","t","2014-11-29","N/A","N/A","N/A",2,NA,194
4941291,"f","f","t","2013-02-02","N/A","N/A","N/A",1,NA,400
206195782,"t","f","t","2018-07-30","N/A","N/A","N/A",1,4.9,225
41426347,"f","t","t","2015-08-13","N/A","N/A","N/A",1,NA,348
540041298,"f","t","t","2023-10-02","within a few hours","100%","73%",5,NA,45
534575586,"f","f","f","2023-08-29","N/A","N/A","100%",1,5,225
165776960,"f","t","t","2018-01-04","within a day","79%","69%",8,5,175
162280872,"f","t","t","2017-12-11","within an hour","100%","82%",242,5,191
164316200,"f","t","t","2017-12-26","within a few hours","70%","75%",2,NA,64
256632041,"f","f","t","2019-04-18","a few days or more","0%","0%",1,5,180
305240193,"f","t","t","2019-10-29","within a few hours","100%","79%",382,NA,53
1863597,"f","t","t","2012-03-05","within a few hours","100%","0%",1,NA,137
10194134,"f","t","t","2013-11-22","N/A","N/A","0%",1,NA,60
502141479,"f","t","t","2023-02-21","within a few hours","88%","80%",20,5,46
7250989,"f","t","t","2013-07-02","within a day","60%","100%",1,NA,98
50084376,"f","t","t","2015-11-28","N/A","N/A","N/A",1,5,NA
1793569,"f","t","t","2012-02-22","N/A","N/A","N/A",1,NA,NA
20684495,"f","f","t","2014-08-29","within an hour","100%","N/A",1,NA,200
339192135,"f","t","t","2020-02-27","N/A","N/A","100%",2,2,149
252999518,"f","t","t","2019-04-03","N/A","N/A","N/A",1,NA,230
483218347,"f","f","t","2022-10-11","N/A","N/A","N/A",1,NA,300
25341839,"f","t","t","2014-12-29","N/A","N/A","N/A",3,NA,310
213020,"t","t","t","2010-08-25","within an hour","100%","97%",1,5,119
65610,"f","t","t","2009-12-25","within a day","80%","13%",5,NA,120
4888892,"","t","t","2013-01-29","within an hour","100%","80%",11,5,72
255347418,"f","t","t","2019-04-12","a few days or more","0%","N/A",2,NA,236
13318184,"f","t","t","2014-03-19","N/A","N/A","N/A",4,NA,NA
40068602,"f","t","t","2015-07-30","N/A","N/A","N/A",1,5,NA
50165358,"f","f","t","2015-11-30","N/A","N/A","N/A",1,NA,NA
63269523,"f","f","t","2016-03-16","N/A","N/A","N/A",1,5,NA
166014,"f","t","t","2010-07-13","N/A","N/A","N/A",1,5,NA
3696938,"f","t","t","2012-09-27","N/A","N/A","N/A",1,NA,NA
41003664,"f","t","t","2015-08-09","N/A","N/A","N/A",1,5,NA
18576994,"f","t","t","2014-07-21","N/A","N/A","N/A",1,5,NA
22414947,"f","t","t","2014-10-11","N/A","N/A","N/A",1,5,NA
45928403,"f","f","t","2015-10-06","N/A","N/A","N/A",1,NA,NA
126778356,"f","t","t","2017-04-20","N/A","N/A","N/A",1,NA,200
339192135,"f","t","t","2020-02-27","N/A","N/A","100%",2,NA,155
363171869,"f","t","t","2020-08-18","N/A","N/A","0%",1,3,56
364690311,"f","t","t","2020-08-27","within a few hours","100%","33%",2,NA,130
4361706,"f","t","t","2012-12-09","N/A","N/A","N/A",1,NA,208
