"host_id","review_scores_communication","price"
358089614,4.83,45
2868,2,60
454700211,5,150
736652,5,495
745069,4.65,75
120223,4.89,100
45774302,5,89
13347167,5,118.129032258065
35539450,5,231.5
206195782,4.9,225
534575586,5,225
165776960,5,135
256632041,5,180
502141479,5,42.1666666666667
339192135,2,152
213020,5,119
4888892,5,74.5
363171869,3,56
923364,5,160
107578852,4.33,125
13717740,4.58,75
455426196,4.95,54.5
347884942,4.92,80
50997424,5,367.25
172579417,4.6,80
24802960,4.75,75
348891433,4.94,49
268816419,5,71
5422083,5,600
394289605,1,250
535634601,5,80
526803672,4.67,150
399986109,5,140
498559328,4.93,65
432000371,4,100
66352142,5,282
399865453,5,225.617647058824
482505101,4.8,212.5
6632440,4.9,80
3876092,5,100
43203249,5,75
23861205,4.83,150
372788555,4.99,329
465459400,5,104
235971419,5,70
216807490,5,50
616825,5,318
415255533,4.57,175
274452385,4.75,118.666666666667
224206042,4.58,59
58687873,5,700
91156145,4,700
127836236,4.75,70
88326292,4.89,78
95344065,5,56.5
159027993,5,48
184874464,5,50.2
244116720,4.67,90
30080463,4.92,185
439066367,4.98,150
179026754,5,281.75
488767748,4.5,71
410066428,5,157.5
349262538,4.81,161.666666666667
275839005,4.84,140
57283593,4.79,180
465479887,5,79
234331642,5,72
457828432,5,38.1333333333333
181108819,4.72,69
293483235,5,120
59117179,4.98,140
491834352,4.67,600
34343792,5,165
19408645,5,1431.9
64579750,4.89,155
420297717,4.5,94
251398972,5,88
209887985,4.33,84
10457092,5,122
80917634,4.63,37
507975359,5,90
466634879,4.85,265.5
419687159,5,70
289020147,4.71,44.6666666666667
29241227,4.84,55
115827173,5,140
488801886,4.83,85
90334134,4.93,54
528859105,5,70
380818034,4.72,90
315758129,5,144.25
507144882,4.2,99
1276028,5,62.5
181376,4.72,102.5
44468062,5,14
7748180,5,204.5
14214034,4.9,107.5
47595754,4.8,75
171543177,5,68
440220965,4.93,305.5
507121190,5,161
284286042,4.93,56
91122315,4.94,194.333333333333
5853457,5,63.2857142857143
47050813,4.98,76
209987060,4.9,752
3427262,4.75,179
83143535,4.93,75.5833333333333
733370,5,69
3621183,4.79,95
107953084,5,50
371008926,3.75,85.5
69469129,5,135
43669213,4.5,150
135031316,4.73,89
405703661,5,254
550860942,5,170
291556472,5,250
13192406,5,151.666666666667
30532557,5,43.2142857142857
219347424,4.97,109
54690362,4.8,85
253437339,4.67,203
406984733,4.9,295
414406854,5,50
506477683,4.76,183
328865524,4.96,160
3818314,4.97,185.333333333333
2035021,4.99,174.5
117598640,4.6,65
451677867,5,130
278790486,4.92,264
467718253,3.2,150
350231483,5,55.25
371421385,4.83,48.8
432388965,4.8,350
441365757,4.8,389
2787,4.8,261.5
158406020,4.75,92
330751531,4.71,140
461629715,5,287
24580977,4.86,193.666666666667
318855888,5,182
45519775,4.96,86
378618797,4.96,100
2050338,4.94,126.666666666667
431124723,5,125
27596962,4.94,227
30870512,5,109
418569010,5,66
78672740,5,83.5
32446721,4.83,62.25
35783912,4.38,56
4847926,4.61,95
382918364,3.83,85
34991003,4.87,35.25
467996701,4.92,121.5
1447684,4.95,70
415142603,4.98,95
128923049,5,40
593138234,5,100
546945115,4.92,130
2374190,4.86,125
72923241,4.98,109
490412669,4.2,74.625
83394328,5,186
4170464,5,115
417841076,5,140
7897301,5,125
7077897,4.94,235
424416070,4.75,160
23316651,4.96,160
256878517,4.89,482
491094535,5,240
15835028,5,72
2383619,4.88,79
417088896,4.96,250
426369684,4.97,112.25
390872332,4.88,85
19805631,5,82.5
62028227,4.9,134
85006028,4.93,109
581331178,5,290
4521174,5,250
24253453,5,85
175142050,4.4,56.5
454437633,4.84,135
11651884,5,350
64119235,4.96,251
4702833,4.77,110
7956821,4.87,200
1239272,4.98,500
5052897,5,60
6137695,5,290
27277459,4.93,145.5
455384864,5,134
262657892,4.84,448.5
307197943,4.94,1149.25
299371992,4.88,206.75
303156931,3.5,52.2564102564103
474338092,5,305
28260018,4.84,73.0526315789474
197053492,4.89,741.875
20448671,4.87,85
3491890,5,206.833333333333
1503258,5,82.5
278744903,4.58,399
6103075,4.98,334
467064305,4.32,150
9293730,4.87,172.863636363636
568880,5,250
51716739,5,362
21182556,5,140
2011516,4.95,389
298841502,4.53,357
316839533,5,579
95782575,5,256
1033970,4.95,199.4
240480084,4.94,170
203531377,5,190.833333333333
411740512,4.8,988.411764705882
37046945,4.77,182.5
3695529,5,422.5
10767841,5,1200
499232,5,175
15185649,4.89,95
36641,5,93.25
21306,5,73
6397629,5,350
4979775,4.9,280
96377729,5,149
370725742,4.63,406.666666666667
148812441,4.94,261
1317360,4.93,893
219700887,4.95,300
193364875,4.97,95
19758179,5,108
739539,5,399
1286417,4.98,172
503764033,4.93,211
58599806,5,149
321338266,5,206.333333333333
464933442,3.33,75
163362268,4.82,65.3
151084261,4.75,90.25
57412032,5,110
1746765,4.96,143
382617662,4.61,250.571428571429
69852641,4.88,650
269146709,5,549
176950781,3.67,711.230769230769
757166,4.77,65
213586067,4.75,1000
61601146,5,55
205760,5,219
350773,5,161
281229,4.88,657
566738582,4.95,598.166666666667
21014758,4.96,51
419717387,5,125
494585533,5,120
343784251,4.72,160
9053876,4.83,250
488786670,4.65,180
570439129,3.8,421
76667010,4.88,119
64660747,5,232.666666666667
455217956,4.9,250
261560877,5,220
436098811,4.92,107
378112960,4.82,295.625
4168573,4.75,300
539071268,5,644
8844412,5,235
561863878,4.88,87.5
422238549,4.75,177
560840755,4.92,673.8
249649095,4.91,61.5
163603458,4.98,88
131476075,4.86,106.666666666667
681225,5,99.5
40025069,4,232
475832490,4.9,114.25
97976588,4.96,110
577762228,5,146.5
55922753,5,45.75
185889529,5,73.6
267735490,4.57,115.25
448752983,5,74
131222248,5,39.3333333333333
241454071,4.76,66.3333333333333
534677610,4.65,109
137114793,4.92,105
22020112,5,279
539071710,4.94,105
179383012,4.86,55
81320394,5,80
168054716,4.9,145.333333333333
1663967,4,140
420148935,4.92,85
479755663,4.85,72.5
167241670,5,70
462364312,5,115
489230483,4.64,100
39549563,4.93,150
225283096,4.84,55
33290222,5,733.333333333333
398867059,4.95,85
5744305,4.94,132
408979935,5,118.785714285714
119931951,5,67
407896135,4.93,184
443442157,5,154.4
233485864,4.96,68
307362200,4.73,125
175152359,4.8,49.5
17649482,5,745.75
89526812,4.9,80
266645207,4.79,68.3333333333333
30895980,4.96,191.666666666667
403032,4.93,124
58896882,4.8,90
44772065,4.76,206
135710202,4.84,74
206642978,5,155
160940380,4.9,400
190870582,4.78,87
334592074,4.99,59.3333333333333
156168934,5,500
299361829,5,80
548551591,4.95,114
342002500,4.82,80.8
385091169,5,214.75
3627786,5,114
228879817,4.93,95.1428571428571
401937392,4.91,110
365693343,4.76,80
327961860,5,57
68225611,4.89,99
130186732,4.86,90
271784048,4.93,90
424289139,4.83,70
1234135,4.89,80
86233928,4.88,167.5
83076610,5,155
228858,4.98,200
42048042,4.67,225
428705707,4.94,104
374799676,4.74,66.3333333333333
245002893,4.44,95
138526119,5,194
304460696,4.94,194
271094799,4.89,82
513252528,4.84,279
60351850,4.95,130
59795431,4.33,55
81534600,4.89,102
508184140,5,189
12104046,4.97,212.5
176279414,4.97,110
22699146,4.97,128.666666666667
303784261,4.62,62
431776619,4.98,85
128271193,4.68,49
542706656,4.66,125
439436915,5,79
21170120,5,192.25
20446890,4.8,63
19349568,4.95,131.5
391434532,4.71,75
10593759,5,1000
21841949,4.7,87.5
486927614,4.5,78
317502103,4.77,57
25944182,4.84,58
43908809,5,164
18600626,4.98,133
54294445,5,250
418612583,4.87,97.5
241963980,5,68.3333333333333
258164,4.89,125
177174475,4.78,411.625
153817,4.93,80
2321783,4.78,260
423356160,5,280
293827185,4.5,65
487163726,4.98,130
272265577,4.65,60
308529418,5,446
20900568,4.93,71
521861346,4.95,150
259207391,4.98,85
395798646,4.8,60
75395247,5,130
4451246,4.95,89
513003509,5,424.75
206722794,5,151.2
505876683,5,80
19867664,5,4000
60666744,4.88,88
10784618,4.96,37
467974528,5,91.5
286661925,5,242
527461531,4.5,35
236334741,4.93,113.5
11134103,5,110
62803,5,66.4
480198632,5,190
29219991,5,164.666666666667
1514100,5,160.5
153643919,4,102.25
57165692,4.89,120
232778333,4.73,53
394333507,5,74.5
200611691,4.84,153
444099707,4.79,65
9950152,4.95,99
28840396,4.95,91
422067855,5,295
14637971,4.78,49.5
204915695,4.77,60.5
6271042,4.95,65
787273,5,475
338163142,4.88,150
115638902,4.99,82
35594166,5,125.333333333333
32901759,4.97,81
154239561,5,160
217625111,5,469
441071545,3.5,237.5
12603113,5,56
24273714,4.88,83.625
71325123,4.83,100
119155499,4.63,49
433696576,5,92
129139650,5,115
27465368,5,65
45285095,5,65
225530795,4.95,60
140328984,5,169
49293531,5,142.666666666667
320538,4.83,137.5
391726093,4.83,200.333333333333
80669033,5,842
575259566,4,661.5
155331939,4.82,120
380601266,5,142.821428571429
272824348,5,55.5
422735667,4.93,90
32164030,4.78,44.2857142857143
7632976,5,160
426958468,5,200
789975,5,64
5720054,4.94,157
493949425,4.89,90
57329460,5,204
17770287,4.85,137.583333333333
426394465,4.87,129
155607686,5,46
410561414,4.91,125
94682993,4,600
194940666,4.63,170.166666666667
414539549,5,162
57023844,5,73.3333333333333
244217480,5,115
142500682,4.86,100
238686010,4.88,109
110861450,4.95,410
464397781,4.98,179
220609149,5,74
6928782,5,55
27379338,5,75
232008056,5,110
60077920,5,175
157337532,4.93,71.25
422291147,4.88,225
116985862,5,257
442828357,4.88,75
66410588,5,105
8792814,4.85,59.3333333333333
500002037,4.93,150
193889243,5,200
74944205,4.87,345
483378389,4.5,57.6666666666667
478063298,3.8,150
24170648,5,100
12346795,4.85,65
513783088,4.75,160
116396065,5,289
94713722,4.73,112.5
10366837,4.98,75
483634479,4.93,70
35174210,5,397
462877490,5,55
174835260,4.9,75
482738574,5,183.333333333333
8616291,4.91,89
42585587,5,88.2
491091990,4.44,185
150121776,4,74
542625453,5,120
454299936,4.85,325
4167027,5,85
45201692,4.99,220
549961791,5,137
386023252,5,66
381875331,5,157
380332619,5,205.1
280351346,4.98,490
432478348,4.96,175
801975,5,197
128586228,4.88,145
137772585,4.95,205
341236996,4.43,115
485998649,4.9,170
351556515,4.92,193.5
81865543,4.99,72
504395686,5,124
467676796,5,104
395015552,4.45,46.5
531890530,5,73.5
16954768,4.56,44
492034586,4.6,56.5
469253894,4.5,90
1650330,5,51
1215853,4.89,245
30805991,5,224
132485225,4.94,75
4047395,5,100
18272255,4.95,210
495208457,5,188
47782497,4.94,56.8571428571429
442326310,5,210
304182642,5,90
90655016,4.98,120
6582421,5,50.6666666666667
509334515,4,56
138831526,3.82,214
414646580,2,124
1651080,5,180
12690012,5,75
21940966,5,98
474954733,5,165
523377274,4.67,87
58228630,5,98
419900720,5,55
50045329,5,150
442253364,4.96,112
576678479,5,281
302151163,5,83.5
100361034,5,325
404575129,4.71,55
38580398,4.83,125
21965282,5,228.333333333333
205488631,4.8,42
16782911,5,126
449529549,5,113.333333333333
414317909,4.92,440
255787885,4.94,325
567236359,5,1051.33333333333
546724960,5,293
107294313,4.95,192
942252,5,130
148399896,4,180
405681246,4.87,150
498068370,4.85,106
377484768,4.86,125
32802716,5,66
474352505,4.86,130
370965607,4.78,117
530889967,5,283
486203412,4.81,173
16142344,5,79
340285441,4.92,70
21228368,4.79,45
92561578,5,68.3333333333333
496082233,5,185
27641120,4.96,70
3323929,4.94,74
20587708,4.94,114
190891268,4.97,430
13384586,4.94,78
192085313,4.78,60
582289058,4.75,177
113121666,4.73,99
1980834,5,115
67345821,4.96,40
60665255,4.89,171
75842183,4.82,66
209279462,4.9,111.333333333333
521819,4.85,77.5
5810195,5,35.5
1149419,4.87,120
303026719,5,132
2373167,4.97,167
2427868,4.96,138
576974254,4.45,187.5
12986426,4.92,150
6499364,4.73,121
1898675,4.93,375
13693119,4.94,137
399393231,4.98,87
211666263,5,125
9777215,4.96,130
7500,4.6,109
65611806,4.87,113.666666666667
163329653,4.93,130.5
421007927,5,129.5
10162189,4.96,170
20375986,4.92,247
478954712,4.97,120
271527,4.94,442
85366497,5,121
14084903,4.97,300
163421878,4.84,200
116703956,5,28
515207276,4.92,260
26901061,5,169
459418901,5,210
66646332,4.88,90
383406,5,150
222789625,5,180
189816889,4.96,65
303320045,4.96,90
16514175,4.85,101.666666666667
192425097,4.95,140
433203831,4.86,106.75
2809854,4.99,176
7989399,4.74,71
111663504,4.92,150
21060554,4.9,93
32789287,5,115
32167398,4.85,53.1666666666667
395765663,4.92,155
381148614,4.79,70
448121491,4.86,225
270878146,5,168.5
476858753,4.96,115
107243,4.98,130
61846222,4.99,150
785524,4.73,90.3333333333333
186353905,5,96
117633494,5,80
356380817,4.91,214
40008334,4.93,244
1873589,4.91,250
468181485,4.98,275
189404055,1,90
466626021,4.98,140
160614016,4.98,176.5
2449215,4.89,259
447538686,4.84,129
308316618,4.57,49.5
521117331,4.95,121
45502946,5,129
89206373,5,140
492145349,4.96,146
397775202,4.4,227
195497710,4.97,85
12898987,4.93,108
526705559,4.83,367
161268152,4.92,495
23874992,5,356
46252162,4.97,195
294695910,4.57,319
122454735,5,114
75458625,4.93,91.3333333333333
429378639,4.92,147
86414330,4.96,121
86415678,4.91,75
357257077,5,226
21634948,4.96,90
350031143,4.9,115
2297544,5,195
45503479,4.53,125
43633040,4.97,75
92451,4.92,200
42555896,5,220
24982374,4.96,165
12220316,5,375
20405437,4.67,195.5
4524130,4.9,175
393473,4.95,217.5
9243105,4.95,173
173373234,4.89,224.5
280388194,5,136.5
268194413,5,105
278938434,4.89,80
3011180,4,117
49639577,5,60
460147305,5,98
3684332,5,150
60181417,5,101
5652395,4.73,84.3333333333333
371806038,4.89,350
25116086,5,98
490259214,4.98,194
13584060,5,129
214733449,4.8,47
26180644,4.97,120
280764765,4.8,350
420392531,4.74,160
6388887,5,150
313659194,4.89,136
364844663,4.71,271.666666666667
365045,5,180
13792543,4.88,142.666666666667
482202945,4.99,129.5
538706762,4.83,110
865264,4.92,60
23834677,4.94,107
448410751,4.86,103
2528671,4,125
52403444,4.76,153
34203575,5,55
2423570,4.92,125
510005340,5,125
177404414,4.97,74
6029096,5,303
2805766,4.88,67
34457315,4.76,250
137916804,4.94,300
96479013,4.93,204
438341134,4.96,50
4930847,4.96,100
48618336,4.91,70
10239152,4.82,135
357914975,4.88,200
183886601,4.67,120
3803638,4.92,149
19864547,4.93,172.5
31805306,4.93,68
54433895,5,248
1544804,4.94,149
22840018,5,350
504164662,4,66
18600674,4.95,400
5318185,5,125
11775328,4.96,157
516076674,4.63,120
4910820,4.88,95
2051376,4.96,226
96623913,4.91,269
6455775,4.94,228
5628382,5,125
121434641,4.98,255
369442791,4.63,175
252633425,4.77,250
68927972,5,140
1421199,4.87,120
284776109,4.88,150
