"latitude","longitude","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","price","room_type","numb_dollar"
40.61431,-74.03444,"","Fort Hamilton","Brooklyn",89,"Private room",89
40.63952,-74.01484,"","Sunset Park","Brooklyn",45,"Private room",45
40.85003,-73.92281,"","Morris Heights","Bronx",107,"Private room",107
40.7987175823564,-73.9400927736159,"","East Harlem","Manhattan",140,"Entire home/apt",140
40.6680122,-73.9852256,"","South Slope","Brooklyn",340,"Entire home/apt",340
40.6641783765939,-73.9115887160987,"","Brownsville","Brooklyn",54,"Private room",54
40.6789456,-73.9437591,"","Bedford-Stuyvesant","Brooklyn",47,"Private room",47
40.7418371,-73.9268361,"","Sunnyside","Queens",280,"Entire home/apt",280
40.68275,-73.95814,"","Bedford-Stuyvesant","Brooklyn",60,"Entire home/apt",60
40.725692396699,-73.983761266606,"","East Village","Manhattan",180,"Entire home/apt",180
40.7451425642264,-73.9776372524837,"Neighborhood highlights","Kips Bay","Manhattan",150,"Entire home/apt",150
40.67809,-73.93971,"","Bedford-Stuyvesant","Brooklyn",150,"Private room",150
40.6963545,-73.9843518,"","Downtown Brooklyn","Brooklyn",295,"Private room",295
40.71356,-73.94187,"","Williamsburg","Brooklyn",495,"Entire home/apt",495
40.7502506,-73.9777453,"","Murray Hill","Manhattan",58,"Entire home/apt",58
40.82359,-73.94601,"","Harlem","Manhattan",75,"Private room",75
40.66296,-73.98598,"","South Slope","Brooklyn",325,"Entire home/apt",325
40.6826430405632,-73.9429135820132,"","Bedford-Stuyvesant","Brooklyn",149,"Entire home/apt",149
40.6708627075699,-73.9341268268535,"","Crown Heights","Brooklyn",36,"Private room",36
40.765429,-73.966665,"","Upper East Side","Manhattan",900,"Entire home/apt",900
40.72421,-73.98509,"","East Village","Manhattan",100,"Entire home/apt",100
40.71066,-73.96756,"","Williamsburg","Brooklyn",399,"Entire home/apt",399
40.69441,-73.92297,"","Bushwick","Brooklyn",79,"Private room",79
40.74355,-73.97594,"Neighborhood highlights","Kips Bay","Manhattan",101,"Entire home/apt",101
40.7719025,-73.9566685,"","Upper East Side","Manhattan",116,"Entire home/apt",116
40.8073,-73.94575,"Neighborhood highlights","Harlem","Manhattan",250,"Entire home/apt",250
40.78188,-73.98188,"","Upper West Side","Manhattan",602,"Private room",602
40.6035638,-74.0096766,"","Bath Beach","Brooklyn",203,"Private room",203
40.62476,-73.93556,"","Flatlands","Brooklyn",80,"Private room",80
40.67012,-73.93588,"","Crown Heights","Brooklyn",63,"Private room",63
40.7102561443902,-73.9685195393774,"","Williamsburg","Brooklyn",231,"Private room",231
40.6789456,-73.9437591,"Neighborhood highlights","Bedford-Stuyvesant","Brooklyn",48,"Private room",48
40.6874,-73.95497,"","Bedford-Stuyvesant","Brooklyn",194,"Private room",194
40.68043,-73.95715,"","Bedford-Stuyvesant","Brooklyn",400,"Entire home/apt",400
40.81009,-73.95471,"","Harlem","Manhattan",225,"Entire home/apt",225
40.74478,-73.98806,"","Midtown","Manhattan",348,"Entire home/apt",348
40.7026103,-73.9046224,"","Ridgewood","Queens",45,"Private room",45
40.6836021881712,-73.930338151071,"","Bedford-Stuyvesant","Brooklyn",225,"Entire home/apt",225
40.73212,-73.98532,"","East Village","Manhattan",175,"Entire home/apt",175
40.76596,-73.95712,"Neighborhood highlights","Upper East Side","Manhattan",191,"Entire home/apt",191
40.7185716620216,-73.9930729933601,"","Lower East Side","Manhattan",64,"Private room",64
40.72573,-74.00218,"","SoHo","Manhattan",180,"Entire home/apt",180
40.7765870288726,-73.9469426021634,"Neighborhood highlights","Upper East Side","Manhattan",53,"Private room",53
40.76539,-73.98681,"Neighborhood highlights","Hell's Kitchen","Manhattan",137,"Private room",137
40.71994,-73.94323,"","Williamsburg","Brooklyn",60,"Private room",60
40.69957,-73.93125,"","Bushwick","Brooklyn",46,"Private room",46
40.7982618107337,-73.9614739679177,"","Upper West Side","Manhattan",98,"Private room",98
40.77464,-73.91062,"Neighborhood highlights","Ditmars Steinway","Queens",NA,"Private room",NA
40.67944,-73.97468,"","Park Slope","Brooklyn",NA,"Entire home/apt",NA
40.67859,-73.99849,"","Carroll Gardens","Brooklyn",200,"Entire home/apt",200
40.8118524705777,-73.9605097512292,"","Morningside Heights","Manhattan",149,"Private room",149
40.6848424373944,-73.9422894722014,"","Bedford-Stuyvesant","Brooklyn",230,"Entire home/apt",230
40.73554,-73.95968,"","Greenpoint","Brooklyn",300,"Entire home/apt",300
40.76402,-73.95916,"","Upper East Side","Manhattan",310,"Entire home/apt",310
40.79361,-73.9711,"","Upper West Side","Manhattan",119,"Private room",119
40.72113,-73.95681,"","Williamsburg","Brooklyn",120,"Private room",120
40.70262,-73.91975,"","Bushwick","Brooklyn",72,"Private room",72
40.74698,-73.99055,"","Chelsea","Manhattan",236,"Entire home/apt",236
40.70357,-73.94085,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.72111,-73.98079,"","East Village","Manhattan",NA,"Private room",NA
40.74987,-73.97293,"","Murray Hill","Manhattan",NA,"Entire home/apt",NA
40.72804,-73.98281,"","East Village","Manhattan",NA,"Entire home/apt",NA
40.77201,-73.92197,"","Astoria","Queens",NA,"Entire home/apt",NA
40.70935,-73.95207,"","Williamsburg","Brooklyn",NA,"Entire home/apt",NA
40.7133,-73.98645,"","Lower East Side","Manhattan",NA,"Private room",NA
40.72175,-73.98361,"","East Village","Manhattan",NA,"Private room",NA
40.71147,-73.96745,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.69525,-73.90848,"","Bushwick","Brooklyn",NA,"Private room",NA
40.6798606045075,-73.9973556417015,"","Carroll Gardens","Brooklyn",200,"Private room",200
40.81327,-73.95989,"","Morningside Heights","Manhattan",155,"Private room",155
40.7024,-73.9248,"","Bushwick","Brooklyn",56,"Private room",56
40.79951,-73.96413,"","Upper West Side","Manhattan",130,"Entire home/apt",130
40.7321998204314,-73.9558217854828,"","Greenpoint","Brooklyn",208,"Private room",208
40.72967,-73.95352,"","Greenpoint","Brooklyn",285,"Entire home/apt",285
40.7776024574372,-73.9784369687598,"","Upper West Side","Manhattan",229,"Entire home/apt",229
40.71296,-73.94806,"","Williamsburg","Brooklyn",220,"Entire home/apt",220
40.67656,-73.93325,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.72056,-73.9473,"Neighborhood highlights","Greenpoint","Brooklyn",NA,"Entire home/apt",NA
40.71465,-74.00552,"Neighborhood highlights","Civic Center","Manhattan",NA,"Private room",NA
40.83551,-73.93923,"","Washington Heights","Manhattan",NA,"Private room",NA
40.72682,-73.97845,"","East Village","Manhattan",NA,"Entire home/apt",NA
40.76142,-73.9936,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.68927,-73.95277,"","Bedford-Stuyvesant","Brooklyn",NA,"Entire home/apt",NA
40.81483,-73.9609,"","Morningside Heights","Manhattan",NA,"Private room",NA
40.70352,-73.93104,"","Bushwick","Brooklyn",NA,"Private room",NA
40.7412,-73.98286,"","Kips Bay","Manhattan",136,"Private room",136
40.78372,-73.95333,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.74801,-73.97391,"","Murray Hill","Manhattan",NA,"Private room",NA
40.76735,-73.95548,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.72309,-73.98926,"","Lower East Side","Manhattan",NA,"Private room",NA
40.76297,-73.92696,"Neighborhood highlights","Astoria","Queens",NA,"Entire home/apt",NA
40.71574,-73.98962,"","Lower East Side","Manhattan",NA,"Private room",NA
40.69084,-73.92075,"","Bushwick","Brooklyn",NA,"Private room",NA
40.73379,-73.98031,"","Stuyvesant Town","Manhattan",NA,"Private room",NA
40.82034,-73.94345,"","Harlem","Manhattan",NA,"Private room",NA
40.80351,-73.95086,"","Harlem","Manhattan",NA,"Private room",NA
40.71405,-73.94129,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.6927681168614,-73.917343022711,"","Bushwick","Brooklyn",40,"Private room",40
40.68808,-73.9206,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.74379,-73.99707,"","Chelsea","Manhattan",NA,"Entire home/apt",NA
40.70964,-73.96065,"","Williamsburg","Brooklyn",NA,"Private room",NA
