id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
6848,3,3,1.0,2.0,30,5.220355825078324,5.272999558563747,4.58,4.59,4.58,1,1,1,1,1,5,4.418840607796598,1
7097,2,2,1.0,1.0,2,5.3706380281276624,5.966146739123692,4.89,4.91,4.82,1,1,1,1,1,4,5.3230099791384085,1
7801,3,2,1.0,0.0,30,5.556828061699537,2.5649493574615367,4.91,4.78,4.89,1,1,1,1,1,4,5.66988092298052,1
8490,3,5,1.0,1.0,30,5.389071729816501,5.247024072160486,4.77,4.83,4.76,1,1,1,0,1,7,5.135798437050262,0
10452,2,2,1.0,1.0,30,5.564520407322694,4.394449154672439,4.66,4.49,4.67,1,1,1,1,1,5,4.499809670330265,1
12940,3,2,1.0,1.0,30,5.765191102784844,4.356708826689592,4.54,4.63,4.4,1,1,1,0,1,5,4.812184355372417,1
13808,2,2,1.0,1.0,30,5.616771097666572,5.318119993844216,4.65,4.74,4.71,1,0,1,1,1,3,4.912654885736052,1
14314,3,2,1.0,1.0,30,5.62040086571715,5.187385805840755,4.82,4.88,4.79,1,1,1,1,1,5,4.74493212836325,1
15385,2,1,1.0,1.0,30,5.648974238161206,4.07753744390572,4.86,4.82,4.68,1,0,0,0,0,5,4.564348191467836,1
19812,3,2,1.0,1.0,30,5.786897381366708,4.07753744390572,4.49,4.65,4.41,1,0,1,0,1,5,4.653960350157523,0
23135,2,2,1.0,1.0,30,5.8998973535824915,5.762051382780177,4.71,4.84,4.7,1,0,1,0,1,5,5.298317366548036,0
24285,3,5,3.0,3.0,30,5.135798437050262,4.532599493153256,4.83,4.78,4.84,1,1,1,1,1,5,5.393627546352362,1
26785,3,2,1.0,1.0,30,4.836281906951478,6.171700597410915,4.93,4.95,4.91,1,1,1,0,1,5,4.499809670330265,0
29013,2,2,1.0,1.0,30,5.293304824724492,4.30406509320417,4.72,4.37,4.54,1,1,1,1,1,5,4.499809670330265,1
29628,2,2,1.0,1.0,3,4.852030263919617,6.095824562432225,4.95,4.94,4.92,1,1,1,1,1,6,5.0238805208462765,1
31994,2,2,1.0,1.0,2,5.723585101952381,6.38856140554563,4.54,4.68,4.6,1,1,1,0,0,5,4.844187086458591,1
33009,3,2,1.0,1.0,30,5.4638318050256105,5.6937321388027,4.96,4.96,4.9,1,1,1,0,1,5,5.272999558563747,1
36121,2,1,1.0,1.0,90,5.8916442118257715,2.1972245773362196,4.88,5.0,5.0,1,0,0,0,1,5,5.298317366548036,0
