"id","price","review_scores_rating"
572612125615500032,45,4.83
13234457,60,4
773237631431486592,150,5
1097125455525075712,295,4.26
760086536368275328,495,5
1189243425411300608,58,5
310325,75,4.17
27883,100,4.85
681730243323738624,79,4.79
1080524247229234432,116,5
303264,250,4.67
1208099973553742592,231,5
27454904,225,4.86
969035784970111360,225,5
46999617,175,4.4
818099336473939584,191,4
748537688760859904,180,5
1071083738326573568,46,5
814741679869275264,149,2
980573611700193408,119,4.78
50550783,72,4.71
762355634788904576,56,3
62925,285,4.81
33077083,160,4
31178588,125,4
39929061,75,4.58
880473158416436096,219,5
610418835243217792,59,4.8
43612639,80,4.86
54395062,245,4.75
23224129,80,4.8
26327452,75,4.75
805863165104844800,49,4.47
1032927026252673152,71,5
2999527,600,5
613045587854720384,250,1
974059099437963904,80,5
25235760,43,5
939431170319588480,150,4
54131340,140,5
818879228507700736,65,4.8
53357250,100,4
773214568696699008,282,4.67
766040817482157696,146,5
982787887777810304,124,4.7
1826701,65,4.5
33937466,100,5
8190747,75,5
4668244,150,4.55
45988097,329,4.98
654544771425247872,104,5
837867086560680704,150,5
947506677820065408,70,5
828902214755540608,50,5
16962471,137,5
960875317288334592,175,4.43
710385606950283136,82,4.63
29800915,59,4.26
53343701,500,5
570245065716823872,700,5
35496842,70,4.22
726038186245782016,73,5
1000972009684425088,45,5
21818110,48,4.86
54263674,100,4.6
958972019916575232,53,5
902225058371011584,100,5
37262517,160,4.77
53358037,250,5
820166028658823552,90,4.9
820361475735199744,159,5
765990025204967552,71,4.15
598713051061239296,120,4.88
815196047046719872,223,4.69
36698970,140,4.76
14215652,180,4.75
10824871,120,3.86
803150657798963072,79,4
46671693,72,5
649219147279911936,37,5
24057583,69,4.24
38609434,120,5
18718195,140,4.96
692599752789657728,66,5
784294277993627648,600,4.67
53937868,165,5
1033569522990106112,1029,5
50735000,99,4.67
880643090819651712,220,4.6
691373277862293248,155,4.89
726026082789429632,113,5
737474142949878784,80,5
993554226277677312,71,4.33
950633540058086912,68,5
815406323850393344,37,4.25
892205665073544064,90,5
688696272821787520,263,4.87
43388163,35,5
31836311,34,5
51804585,70,5
52132742,50,5
38161818,40,4
22980907,55,4.75
867385242229456256,140,5
766186374255566464,85,4.85
17685710,54,5
947184015001854592,70,5
51042544,90,4.6
845209255123786880,69,4
861425260494982784,99,3.6
31612381,55,5
44229,110,4.69
746356369135138304,14,5
1026374295595084544,84,5
28250448,90,4.8
28518077,75,4.7
713136715421041280,49,5
564682824371493120,480,4.89
855628419776805888,181,5
53211837,62,4.96
53666929,190,4.87
52267290,48,4.67
41976399,50,4.98
28165121,82,4.95
1105895433928720768,752,5
1132949981878599296,39,5
691109892839269248,179,5
633939380745222400,275,4.71
47181609,75,4.84
582372,69,4.9
704838,95,4.73
836909205162247552,49,4.82
618390733290143744,83,3.75
54164726,145,5
8281889,150,4.5
45139002,89,4.62
1155316551298844160,203,4.89
1046352281440824960,170,5
1013106338310034304,250,4
996659251355170048,141,5
1176936179607448576,45,2
43931225,43,4
29152320,120,4.55
1164830197529690368,85,4.6
1140826486792959104,203,4
50381056,295,4.84
629728707925098240,50,4.8
53773839,94,5
1018963765856272896,183,4.71
53215556,160,4.82
1198181400818466816,115,5
1002938301240121344,206,4.91
48456241,209,4.95
632752608177110784,65,4
592736448808176640,130,5
639317233046143744,264,4.54
972841979416428288,55,5
828634131024731776,150,3.4
43806406,50,5
4711396,99,5
51621907,40,4.62
53402699,350,4.82
791372426456950912,53,2
649968161200990848,389,4.76
17263207,249,4.75
96471,171,5
29269102,92,4.95
51487070,130,4.86
638044371366059520,287,5
664633132220977408,130,4.87
54022749,165,5
8664611,86,4.89
969020047281643904,45,5
53849102,100,4.96
4452723,95,4.72
1004428776661057280,125,5
817337173977098880,227,4.91
1203936636043065856,109,5
793077855709558528,66,5
649819721923399552,71,5
20427684,59,4.8
855224089369017984,54,4.25
1654929,95,4.53
961836418495370368,85,4.17
20337158,64,4.87
26422113,34,4.8
715019792407184768,113,5
880476290217593088,240,4.5
4428854,65,4.91
51269003,95,4.94
727002652481662080,40,5
1212347649197198848,100,5
45642113,45,5
1030471955409300992,130,4.87
49134582,125,5
13113906,109,4.86
894088687601437952,51,3.8
53786119,100,4.5
44378348,186,4.99
29946757,60,5
866640149596607104,140,4.9
1211549563874716928,125,5
40448123,235,4.82
862664998185425024,189,4.75
46987549,140,4.28
678331335413405312,160,4.87
42584572,482,4.81
788623244188373760,240,5
590040648193371392,69,5
3616173,79,4.86
51493315,250,4.95
804263080422812032,108,4.97
688500937567104640,85,4.88
27361377,105,5
1111072720693755520,352,4.33
13674349,139,4.95
733219724258180864,20,4.84
1171092946447246080,290,5
34272580,250,5
11935301,85,5
816182291434872192,56,4.6
605734646204848640,135,4.56
642617234993807488,350,4.98
749139083726291200,300,4.84
15844782,110,4.69
37549695,200,4.84
14625676,500,4.91
936218,60,5
649265769107676544,203,4.75
28734298,290,4.8
1001507167604490880,53,4
13408222,139,4.75
948160046984994560,134,4.94
34866682,754,4.87
51968666,1028,4.85
50622095,170,5
736427204561194240,463,4.71
917521967079126144,72,2
760067389876708864,305,4.91
774790005240645120,76,4.67
621196224002920576,42,5
1074601780362934912,51,5
49768585,120,2
836121760362411264,579,4.87
27782948,85,4.77
14467602,130,4
13236366,210,5
343766,87,4.75
37059899,354,4.58
49639535,150,4.7
866654663028165248,334,4.93
665409290103351552,150,4.36
12867918,158,4.65
14139553,161,4.75
823268495658074240,250,4.96
555056971119508992,175,5
1019429690426278144,398,4.86
39627727,393,4.41
1051303514337719552,230,5
755808864708679808,140,5
52654519,389,4.89
52253807,300,4.58
803060292907495808,749,4.91
844029641961371008,75,5
836251283404712064,256,5
588627515187957888,176,4.92
920194483850422912,159,4.89
51306036,183,5
45671894,170,4.75
1124103332108287616,195,5
52172551,2106,4.8
52885449,43,5
932578265767796992,160,4.5
52318271,150,4.85
7254986,650,5
6833395,1200,5
53313409,209,4.67
51578313,205,4.86
37624494,175,5
1001598392441206528,95,4.83
1097125456307217664,315,4.83
9548422,45,5
47803519,79,5
34542550,73,5
782595339625590656,150,5
17943732,350,5
636748829958680576,280,5
702953973018419968,149,5
570034665527308096,359,4.61
50740601,200,5
20770969,258,4.83
7816449,893,4.93
2922197,75,4.81
1086871715782142976,74,5
48111511,40,5
29155895,300,4.83
1019640095376235776,239,4.81
52323876,90,3.5
47783561,85,4.91
840868276915949312,60,4.62
845041278365372160,119,4.83
1047222024885820416,599,5
413504,172,4.93
51907253,766,4.88
839415800079955072,211,4.71
1141545946910311424,65,5
773411792567687296,149,5
781858976833844736,200,4.78
937671047490491776,75,3
570315741712078976,283,5
53317759,49,4.71
42682643,70,4.45
50373097,70,4.75
761616212974802560,43,5
34384958,110,5
38866268,143,4.77
47553112,239,4.17
12812577,650,4.77
51615709,140,5
745632549952601216,160,5
958891583704104576,258,4.94
724493104271684608,100,5
53475354,117,5
43477321,599,5
26953759,450,3
157673,65,4.44
1072469613386836480,321,4.33
30206047,1000,5
860735021598007680,159,4
1148415583851225856,44,4
46715472,434,4.94
657125083842330368,160,5
41670159,161,5
42404665,464,5
725398332156942208,296,5
68974,657,4.87
757277022393109376,165,4
1111468336655364608,475,5
8522395,53,4.99
