"id","price","room_type"
739333866230665344,89,"Private room"
572612125615500032,45,"Private room"
45267941,107,"Private room"
838141198693830656,140,"Entire home/apt"
1082660771919357952,340,"Entire home/apt"
53190949,54,"Private room"
1020282701018874368,47,"Private room"
1029666092532042240,280,"Entire home/apt"
13234457,60,"Entire home/apt"
1199996055054384128,180,"Entire home/apt"
806559695552186368,150,"Entire home/apt"
773237631431486592,150,"Private room"
1097125455525075712,295,"Private room"
760086536368275328,495,"Entire home/apt"
1189243425411300608,58,"Entire home/apt"
310325,75,"Private room"
44866024,325,"Entire home/apt"
1168091987963126528,149,"Entire home/apt"
1233332599257101824,36,"Private room"
1203101908839088896,900,"Entire home/apt"
27883,100,"Entire home/apt"
51927795,399,"Entire home/apt"
681730243323738624,79,"Private room"
1010698130171630208,101,"Entire home/apt"
1080524247229234432,116,"Entire home/apt"
303264,250,"Entire home/apt"
1043748746630664832,602,"Private room"
790530143812144384,203,"Private room"
651593916026998400,80,"Private room"
1233291236181154816,63,"Private room"
1208099973553742592,231,"Private room"
796986371882195200,48,"Private room"
640443472855597440,194,"Private room"
725482656106188032,400,"Entire home/apt"
27454904,225,"Entire home/apt"
581828450067457792,348,"Entire home/apt"
1004979479809147264,45,"Private room"
969035784970111360,225,"Entire home/apt"
46999617,175,"Entire home/apt"
818099336473939584,191,"Entire home/apt"
847907277684435072,64,"Private room"
748537688760859904,180,"Entire home/apt"
49009747,53,"Private room"
675959117355164672,137,"Private room"
27082137,60,"Private room"
1071083738326573568,46,"Private room"
1205761267577581056,98,"Private room"
9698613,NA,"Private room"
7234538,NA,"Entire home/apt"
622964050408357760,200,"Entire home/apt"
814741679869275264,149,"Private room"
1202348834470237184,230,"Entire home/apt"
735631763810679552,300,"Entire home/apt"
4920338,310,"Entire home/apt"
980573611700193408,119,"Private room"
1110201796954441216,120,"Private room"
50550783,72,"Private room"
52025370,236,"Entire home/apt"
11845193,NA,"Private room"
11858737,NA,"Private room"
9717766,NA,"Entire home/apt"
11868110,NA,"Entire home/apt"
9735503,NA,"Entire home/apt"
9757762,NA,"Entire home/apt"
9796737,NA,"Private room"
7480795,NA,"Private room"
9927400,NA,"Private room"
9938594,NA,"Private room"
913651695148256640,200,"Private room"
42582390,155,"Private room"
762355634788904576,56,"Private room"
773305417769982464,130,"Entire home/apt"
52562444,208,"Private room"
62925,285,"Entire home/apt"
1012904436227012224,229,"Entire home/apt"
978191817244397824,220,"Entire home/apt"
9735931,NA,"Private room"
9770041,NA,"Entire home/apt"
13060365,NA,"Private room"
7431316,NA,"Private room"
7500030,NA,"Entire home/apt"
9906415,NA,"Entire home/apt"
7726296,NA,"Entire home/apt"
7789678,NA,"Private room"
9997702,NA,"Private room"
913179698983804288,136,"Private room"
9757351,NA,"Entire home/apt"
7359313,NA,"Private room"
7348925,NA,"Entire home/apt"
7387862,NA,"Private room"
7397649,NA,"Entire home/apt"
7396662,NA,"Private room"
9796155,NA,"Private room"
7398163,NA,"Private room"
7539610,NA,"Private room"
9896731,NA,"Private room"
7616651,NA,"Private room"
1138111749584246784,40,"Private room"
9978664,NA,"Private room"
7758577,NA,"Entire home/apt"
10015340,NA,"Private room"
7921643,NA,"Entire home/apt"
7928917,NA,"Entire home/apt"
10070350,NA,"Entire home/apt"
8034665,NA,"Private room"
10106530,NA,"Entire home/apt"
12423497,NA,"Entire home/apt"
5569464,NA,"Entire home/apt"
12585126,NA,"Entire home/apt"
8605739,NA,"Private room"
8551866,NA,"Entire home/apt"
6094708,NA,"Entire home/apt"
6232987,NA,"Entire home/apt"
7664959,NA,"Private room"
9968402,NA,"Entire home/apt"
12303877,NA,"Private room"
7867805,NA,"Entire home/apt"
1174664876231706624,600,"Entire home/apt"
10067924,NA,"Entire home/apt"
8052046,NA,"Shared room"
