"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic"
3013025,0,0,0
358089614,0,0,0
39162543,0,0,0
148571080,0,0,0
394869975,0,0,0
351763192,0,0,0
483056418,0,0,0
44305915,0,0,0
2868,0,0,0
16899543,0,0,0
489756011,0,0,0
454700211,0,0,0
563069592,0,0,0
736652,0,0,0
61391963,0,0,0
745069,0,0,0
11599731,0,0,0
2229467,0,0,0
138770550,0,0,0
128579948,0,0,0
120223,0,0,0
6702683,0,0,0
45774302,0,0,0
533234561,0,0,0
13347167,0,0,0
1556814,0,0,0
547422647,0,0,0
492849680,0,0,0
136812643,0,0,0
35539450,0,0,0
24278208,0,0,0
4941291,0,0,0
206195782,0,0,0
41426347,0,0,0
540041298,0,0,0
534575586,0,0,0
165776960,0,0,0
162280872,0,0,0
164316200,0,0,0
256632041,0,0,0
305240193,0,0,0
1863597,0,0,0
10194134,0,0,0
502141479,0,0,0
7250989,0,0,0
50084376,0,0,0
1793569,0,0,0
20684495,0,0,0
339192135,0,0,0
252999518,0,0,0
483218347,0,0,0
25341839,0,0,0
213020,0,0,0
65610,0,0,0
4888892,0,0,0
255347418,0,0,0
13318184,0,0,0
40068602,0,0,0
50165358,0,0,0
63269523,0,0,0
166014,0,0,0
3696938,0,0,0
41003664,0,0,0
18576994,0,0,0
22414947,0,0,0
45928403,0,0,0
126778356,0,0,0
363171869,0,0,0
364690311,0,0,0
4361706,0,0,0
306739,0,0,0
99672488,0,0,0
39448176,0,0,0
6501582,0,0,0
96598,0,0,0
5252741,0,0,0
16617981,0,0,0
19976579,0,0,0
50939666,0,0,0
7375767,0,0,0
40995200,0,0,0
5123299,0,0,0
400013151,0,0,0
7952263,0,0,0
38445572,0,0,0
38500630,0,0,0
38702813,0,0,0
9991314,0,0,0
7489344,0,0,0
34202667,0,0,0
28269324,0,0,0
39503857,0,0,0
50448556,0,0,0
3663218,0,0,0
3223938,0,0,0
34010790,0,0,0
30669247,0,0,0
51434460,0,0,0
15102423,0,0,0
41810578,0,0,0
39765154,0,0,0
42237225,0,0,0
8511553,0,0,0
